Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-03-27,0.0,4.4,0.0,1.72518554933,0.36232248816,0.0,0.0,0.0,0.000952118194254,221.270632496,,
2002-03-28,0.0,1.9,0.0,0.730886364599,0.361568997062,0.0,0.0,0.0,0.00131831749974,221.262591681,,
2002-03-29,0.0,3.5,0.0,1.33538120716,0.360192315405,0.0,0.0,0.0,0.00177004867097,221.254572708,,
2002-03-30,0.0,2.5,0.0,0.939503285474,0.359223755317,0.0,0.0,0.0,0.00231467903127,221.246578205,,
2002-03-31,0.0,3.8,0.0,1.41270945919,0.357767353813,0.0,0.0,0.0,0.00295840633583,221.238610978,,
2002-04-01,4.8,2.8,1.8,1.04560194569,0.358545083766,0.0,0.0,0.0,0.00370613540972,221.230673966,,
2002-04-02,1.2,3.0,0.0,1.10681354707,0.357404038872,0.0,0.0,0.0,0.00456139742735,221.22277021,,
2002-04-03,1.4,2.9,0.0,1.05613213637,0.356315242855,0.0,0.0,0.0,0.00552630842159,221.214902804,,
2002-04-04,4.2,1.0,1.2,0.364801484405,0.357176272253,0.0,0.0,0.0,0.00660156300136,221.207074861,,
2002-04-05,5.6,2.0,2.6,0.748805705198,0.359084719979,0.0,0.0,0.0,0.00778645892468,221.199289471,,
2002-04-06,9.1,2.5,6.1,0.99347270597,0.364349181107,0.0,0.0,0.0,0.00907894805793,221.191549659,,
2002-04-07,19.5,1.9,16.5,0.881595965552,0.37909113818,0.0,0.0,1.31870567394,0.0104757092976,221.183858354,,
2002-04-08,23.2,1.6,20.2,0.866105869653,0.379107107351,0.0,0.0,19.3184040344,0.0119725124017,221.176218361,,
2002-04-09,1.2,2.3,0.0,1.04560977878,0.378029159125,0.0,0.0,0.0,0.0135684717395,221.168632455,,
2002-04-10,0.5,3.6,0.0,1.62043738688,0.376358605118,0.0,0.0,0.0,0.0152683706755,221.161103547,,
2002-04-11,0.1,3.5,0.0,1.55106299131,0.374759571107,0.0,0.0,0.0,0.0170835775491,221.153634868,,
2002-04-12,0.0,2.7,0.0,1.17854517495,0.373544576081,0.0,0.0,0.0,0.0190319667978,221.146230155,,
2002-04-13,0.0,3.1,0.0,1.33745077438,0.37216576085,0.0,0.0,0.0,0.0211371700407,221.138893819,,
2002-04-14,0.0,3.9,0.0,1.66019361381,0.370454221041,0.0,0.0,0.0,0.0234274090033,221.131631069,,
2002-04-15,0.0,4.2,0.0,1.75794886823,0.368641902621,0.0,0.0,0.0,0.0259341025434,221.124448009,,
2002-04-16,0.2,4.2,0.0,1.72623329586,0.366862280666,0.0,0.0,0.0,0.0286903916126,221.117351681,,
2002-04-17,0.0,4.2,0.0,1.69508991166,0.365114765293,0.0,0.0,0.0,0.031729686943,221.110350075,,
2002-04-18,0.1,3.8,0.0,1.50598378381,0.363562204691,0.0,0.0,0.0,0.0350843130248,221.103452095,,
2002-04-19,0.0,4.4,0.0,1.71530708601,0.361793846871,0.0,0.0,0.0,0.0387842972348,221.096667493,,
2002-04-20,0.0,4.9,0.0,1.87412437361,0.359861759888,0.0,0.0,0.0,0.0428563336447,221.090006774,,
2002-04-21,0.0,5.7,0.0,2.13421679733,0.357661536385,0.0,0.0,0.0,0.0473229361509,221.083481072,,
2002-04-22,0.0,6.0,0.0,2.19153840963,0.355402218437,0.0,0.0,0.0,0.0522017843071,221.077102017,,
2002-04-23,0.0,5.7,0.0,2.02830268788,0.353311184738,0.0,0.0,0.0,0.0575052569342,221.070881578,,
