# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
50,0,740748.621,4554780.123
50,1,740753.621,4554780.123
50,2,740753.621,4554775.123
51,0,740753.621,4554775.123
51,1,740763.621,4554765.123
51,2,740818.621,4554765.123
51,3,740833.621,4554760.123
51,4,740883.621,4554715.123
52,0,740883.621,4554715.123
52,1,740903.621,4554715.123
52,2,740968.621,4554775.123
52,3,740983.621,4554775.123
52,4,741008.621,4554800.123
52,5,741023.621,4554805.123
52,6,741043.621,4554805.123
52,7,741068.621,4554815.123
52,8,741103.621,4554820.123
52,9,741133.621,4554810.123
52,10,741168.621,4554785.123
52,11,741198.621,4554785.123
52,12,741208.621,4554790.123
53,0,740323.621,4554975.123
53,1,740313.621,4554955.123
53,2,740308.621,4554860.123
53,3,740298.621,4554845.123
53,4,740298.621,4554750.123
53,5,740283.621,4554715.123
53,6,740253.621,4554670.123
53,7,740253.621,4554635.123
54,0,741678.621,4554615.123
54,1,741678.621,4554610.123
55,0,740038.621,4555315.123
55,1,740028.621,4555285.123
55,2,740033.621,4555210.123
55,3,740003.621,4555175.123
55,4,740003.621,4555165.123
55,5,739993.621,4555155.123
55,6,739993.621,4555135.123
55,7,740003.621,4555110.123
55,8,740008.621,4555055.123
55,9,740028.621,4555030.123
55,10,740038.621,4555005.123
55,11,740038.621,4554990.123
55,12,740043.621,4554985.123
55,13,740043.621,4554930.123
55,14,740053.621,4554900.123
55,15,740058.621,4554900.123
55,16,740093.621,4554860.123
55,17,740108.621,4554840.123
55,18,740108.621,4554830.123
55,19,740123.621,4554815.123
55,20,740118.621,4554785.123
55,21,740108.621,4554775.123
55,22,740108.621,4554745.123
55,23,740098.621,4554715.123
55,24,740078.621,4554690.123
55,25,740078.621,4554665.123
55,26,740068.621,4554655.123
55,27,740068.621,4554635.123
55,28,740058.621,4554625.123
55,29,740058.621,4554595.123
55,30,740048.621,4554585.123
56,0,741521.121,4554545.123
56,1,741543.621,4554565.123
56,2,741563.621,4554565.123
56,3,741578.621,4554580.123
56,4,741608.621,4554580.123
56,5,741623.621,4554595.123
56,6,741638.621,4554590.123
56,7,741648.621,4554595.123
56,8,741658.621,4554590.123
56,9,741678.621,4554610.123
57,0,741678.621,4554610.123
57,1,741803.621,4554615.123
57,2,741813.621,4554605.123
57,3,741848.621,4554595.123
57,4,741873.621,4554570.123
57,5,741873.621,4554555.123
57,6,741883.621,4554545.123
58,0,740748.621,4554775.123
58,1,740748.621,4554760.123
